workload_1,workload_2,affinity_score
mem,cpu,0.8686447429143824
mem,fileio,217.32839745641394
cpu,fileio,4.824473339356749
cpu,cpu,2.0036122853556093
mem,mem,149.68642673895528
fileio,fileio,180.80675358283844
