timestamp,Value (counter),container_id,name
15:15:36.104,61006529243.000000,1bc7b6987d7e,nxf-cPB62cVKMj0A2W3ZgiyXeXAy
15:15:36.604,61006529243.000000,1bc7b6987d7e,nxf-cPB62cVKMj0A2W3ZgiyXeXAy
15:15:37.104,61006529243.000000,1bc7b6987d7e,nxf-cPB62cVKMj0A2W3ZgiyXeXAy
15:15:37.604,1264240781781.000000,1bc7b6987d7e,nxf-cPB62cVKMj0A2W3ZgiyXeXAy
15:15:38.104,1264240781781.000000,1bc7b6987d7e,nxf-cPB62cVKMj0A2W3ZgiyXeXAy
15:15:38.604,1264240781781.000000,1bc7b6987d7e,nxf-cPB62cVKMj0A2W3ZgiyXeXAy
15:15:39.104,1264240781781.000000,1bc7b6987d7e,nxf-cPB62cVKMj0A2W3ZgiyXeXAy
15:15:39.604,1264240781781.000000,1bc7b6987d7e,nxf-cPB62cVKMj0A2W3ZgiyXeXAy
15:15:40.104,1264240781781.000000,1bc7b6987d7e,nxf-cPB62cVKMj0A2W3ZgiyXeXAy
15:15:40.604,1264240781781.000000,1bc7b6987d7e,nxf-cPB62cVKMj0A2W3ZgiyXeXAy
15:15:41.104,1264240781781.000000,1bc7b6987d7e,nxf-cPB62cVKMj0A2W3ZgiyXeXAy
15:15:41.604,1264240781781.000000,1bc7b6987d7e,nxf-cPB62cVKMj0A2W3ZgiyXeXAy
15:15:42.104,1264240781781.000000,1bc7b6987d7e,nxf-cPB62cVKMj0A2W3ZgiyXeXAy
15:15:42.604,1264240781781.000000,1bc7b6987d7e,nxf-cPB62cVKMj0A2W3ZgiyXeXAy
15:15:43.104,1264240781781.000000,1bc7b6987d7e,nxf-cPB62cVKMj0A2W3ZgiyXeXAy
15:15:43.604,1264240781781.000000,1bc7b6987d7e,nxf-cPB62cVKMj0A2W3ZgiyXeXAy
15:15:44.104,1264240781781.000000,1bc7b6987d7e,nxf-cPB62cVKMj0A2W3ZgiyXeXAy
15:15:44.604,1264240781781.000000,1bc7b6987d7e,nxf-cPB62cVKMj0A2W3ZgiyXeXAy
15:15:45.104,1264240781781.000000,1bc7b6987d7e,nxf-cPB62cVKMj0A2W3ZgiyXeXAy
15:15:45.604,1264240781781.000000,1bc7b6987d7e,nxf-cPB62cVKMj0A2W3ZgiyXeXAy
15:15:46.104,1264240781781.000000,1bc7b6987d7e,nxf-cPB62cVKMj0A2W3ZgiyXeXAy
15:15:46.604,1264240781781.000000,1bc7b6987d7e,nxf-cPB62cVKMj0A2W3ZgiyXeXAy
15:15:47.104,1264240781781.000000,1bc7b6987d7e,nxf-cPB62cVKMj0A2W3ZgiyXeXAy
15:15:47.604,1264240781781.000000,1bc7b6987d7e,nxf-cPB62cVKMj0A2W3ZgiyXeXAy
15:15:48.104,1264240781781.000000,1bc7b6987d7e,nxf-cPB62cVKMj0A2W3ZgiyXeXAy
15:15:48.604,1264240781781.000000,1bc7b6987d7e,nxf-cPB62cVKMj0A2W3ZgiyXeXAy
15:15:49.104,1264240781781.000000,1bc7b6987d7e,nxf-cPB62cVKMj0A2W3ZgiyXeXAy
15:15:49.604,1264240781781.000000,1bc7b6987d7e,nxf-cPB62cVKMj0A2W3ZgiyXeXAy
15:15:50.104,1264240781781.000000,1bc7b6987d7e,nxf-cPB62cVKMj0A2W3ZgiyXeXAy
15:15:50.604,1264240781781.000000,1bc7b6987d7e,nxf-cPB62cVKMj0A2W3ZgiyXeXAy
