timestamp,Value (microjoules),container_id,container_name,instance
15:15:36.604,3666325.542504,1bc7b6987d7e3f73843f17d76a09222886f3955c095bedd2ee25a8a78bb8ac92,nxf-cPB62cVKMj0A2W3ZgiyXeXAy,130.149.248.105:9091
15:15:37.104,3666325.542504,1bc7b6987d7e3f73843f17d76a09222886f3955c095bedd2ee25a8a78bb8ac92,nxf-cPB62cVKMj0A2W3ZgiyXeXAy,130.149.248.105:9091
15:15:37.604,3666325.542504,1bc7b6987d7e3f73843f17d76a09222886f3955c095bedd2ee25a8a78bb8ac92,nxf-cPB62cVKMj0A2W3ZgiyXeXAy,130.149.248.105:9091
15:15:38.104,3666325.542504,1bc7b6987d7e3f73843f17d76a09222886f3955c095bedd2ee25a8a78bb8ac92,nxf-cPB62cVKMj0A2W3ZgiyXeXAy,130.149.248.105:9091
15:15:38.604,3666325.542504,1bc7b6987d7e3f73843f17d76a09222886f3955c095bedd2ee25a8a78bb8ac92,nxf-cPB62cVKMj0A2W3ZgiyXeXAy,130.149.248.105:9091
15:15:39.104,3666325.542504,1bc7b6987d7e3f73843f17d76a09222886f3955c095bedd2ee25a8a78bb8ac92,nxf-cPB62cVKMj0A2W3ZgiyXeXAy,130.149.248.105:9091
15:15:39.604,3666325.542504,1bc7b6987d7e3f73843f17d76a09222886f3955c095bedd2ee25a8a78bb8ac92,nxf-cPB62cVKMj0A2W3ZgiyXeXAy,130.149.248.105:9091
15:15:40.104,3666325.542504,1bc7b6987d7e3f73843f17d76a09222886f3955c095bedd2ee25a8a78bb8ac92,nxf-cPB62cVKMj0A2W3ZgiyXeXAy,130.149.248.105:9091
15:15:40.604,3666325.542504,1bc7b6987d7e3f73843f17d76a09222886f3955c095bedd2ee25a8a78bb8ac92,nxf-cPB62cVKMj0A2W3ZgiyXeXAy,130.149.248.105:9091
15:15:41.104,3666325.542504,1bc7b6987d7e3f73843f17d76a09222886f3955c095bedd2ee25a8a78bb8ac92,nxf-cPB62cVKMj0A2W3ZgiyXeXAy,130.149.248.105:9091
